time,lat,lon,NO2,name,hpbl,press,rh,tmp,wspd,dpt,ndvi,omi_no2,pd,rd
20190101,21.0491,105.8831,,NVC,391.8637695,102794.3672,66.58927917,11.08707809,4.690219402,5.061234375,0.207800001,,27.72258759,1828.877441
20190102,21.0491,105.8831,,NVC,558.9432373,102699.2656,65.77393341,12.09003067,3.590403318,5.806078125,0.207800001,,27.72258759,1828.877441
20190103,21.0491,105.8831,41.3104,NVC,326.1982727,102452.7656,69.25966644,13.01889038,2.969779968,7.456484375,0.207800001,,27.72258759,1828.877441
20190104,21.0491,105.8831,39.37920417,NVC,197.5246277,102180.75,78.66370392,15.516078,2.775731087,11.713,0.207800001,,27.72258759,1828.877441
20190105,21.0491,105.8831,39.90187917,NVC,287.8249512,102071.9531,75.866745,17.65815544,3.128692627,13.2403125,0.207800001,,27.72258759,1828.877441
20190106,21.0491,105.8831,30.00824583,NVC,265.5419312,102019.2734,71.91950226,16.78242111,1.431035519,11.5605625,0.207800001,,27.72258759,1828.877441
20190107,21.0491,105.8831,38.8811625,NVC,358.3408508,101927.2734,72.53675842,19.10839081,3.354848146,13.74489063,0.207800001,,27.72258759,1828.877441
20190108,21.0491,105.8831,23.5602625,NVC,313.4534302,102125.8984,74.38342285,14.15223503,4.310222626,9.59696875,0.207800001,,27.72258759,1828.877441
20190109,21.0491,105.8831,17.66202917,NVC,264.6254578,102163.1094,76.74284363,13.01987457,3.686981916,8.97521875,0.207800001,,27.72258759,1828.877441
20190110,21.0491,105.8831,22.33865417,NVC,194.4842377,101845.5781,79.5042572,16.25009537,2.515737057,12.62404688,0.207800001,,27.72258759,1828.877441
20190111,21.0491,105.8831,38.9171875,NVC,242.2354431,101786.5547,78.41477203,19.48903084,2.732494831,15.4656875,0.207800001,,27.72258759,1828.877441
20190112,21.0491,105.8831,42.94177917,NVC,295.6135864,101738.0547,80.80635834,18.69276619,2.051506758,15.1293125,0.207800001,,27.72258759,1828.877441
20190113,21.0491,105.8831,40.98890833,NVC,191.1962585,101721.1172,84.80812073,18.46365738,1.915156364,15.725625,0.207800001,,27.72258759,1828.877441
20190114,21.0491,105.8831,48.20266667,NVC,253.4521332,101683.6953,75.93733978,18.62164116,2.455230474,14.19176563,0.207800001,,27.72258759,1828.877441
20190115,21.0491,105.8831,47.01025417,NVC,568.5081177,102004.7734,70.97600555,15.78867149,5.009940147,10.44753125,0.207800001,,27.72258759,1828.877441
20190116,21.0491,105.8831,21.04400417,NVC,452.3778687,102241.9531,66.82820892,13.84615707,3.812198877,7.61690625,0.207800001,,27.72258759,1828.877441
20190117,21.0491,105.8831,32.21331667,NVC,553.9848022,102243.9219,65.71686554,13.65012455,3.172205448,7.020640625,0.207800001,,27.72258759,1828.877441
20190118,21.0491,105.8831,56.01904167,NVC,413.3481445,101915.5156,71.20339203,15.06054783,1.798265219,9.26834375,0.207800001,,27.72258759,1828.877441
20190119,21.0491,105.8831,70.90895,NVC,319.0189209,101636.9375,84.69319153,17.81165695,1.610449672,14.92403125,0.207800001,,27.72258759,1828.877441
20190120,21.0491,105.8831,61.71862917,NVC,452.3309021,101905.4609,77.28978729,18.06170273,5.564998627,13.79634375,0.207800001,,27.72258759,1828.877441
20190121,21.0491,105.8831,30.25038333,NVC,681.2437134,102373.5859,64.49494171,14.89960957,4.37931776,8.04896875,0.207800001,,27.72258759,1828.877441
20190122,21.0491,105.8831,57.45888261,NVC,479.6216125,102233.9844,60.83079529,14.37234402,2.373788595,6.332359375,0.207800001,,27.72258759,1828.877441
20190123,21.0491,105.8831,95.19209524,NVC,341.1483459,101890.8594,58.938591,15.2670002,2.297813892,6.670234375,0.207800001,,27.72258759,1828.877441
20190124,21.0491,105.8831,46.04705882,NVC,424.0724182,101637.1094,77.21166229,17.06940651,3.012193203,12.53551563,0.207800001,,27.72258759,1828.877441
20190125,21.0491,105.8831,28.09166667,NVC,467.5977478,101916.9375,83.30802917,18.91764069,2.606532097,15.81592188,0.207800001,,27.72258759,1828.877441
20190126,21.0491,105.8831,27.77083333,NVC,242.7572327,102158.3438,72.65396118,17.37804794,2.637277365,12.1815,0.207800001,,27.72258759,1828.877441
20190127,21.0491,105.8831,37.225,NVC,465.76828,101946.9375,77.49838257,17.48674965,2.765670061,12.97592188,0.207800001,,27.72258759,1828.877441
20190128,21.0491,105.8831,35.95833333,NVC,394.3490906,101741.2734,83.16762543,19.4460144,2.868754625,16.16670313,0.207800001,0.000100712,27.72258759,1828.877441
20190129,21.0491,105.8831,31.72796667,NVC,310.7221069,101709.6406,85.21348572,20.55886078,2.772915125,17.73034375,0.207800001,,27.72258759,1828.877441
20190130,21.0491,105.8831,40.85408947,NVC,594.1494141,101512.5703,82.98361206,22.04046822,4.816137791,18.70985938,0.207800001,,27.72258759,1828.877441
20190131,21.0491,105.8831,42.69805882,NVC,434.6716309,101920.6563,80.69805145,19.16935349,4.830562115,11.38469446,0.207800001,,27.72258759,1828.877441
20190201,21.0491,105.8831,59.91645,NVC,441.1051636,101969.5547,64.97865295,17.7186718,2.984377146,10.81145313,0.225761119,,27.72258759,1828.877441
20190202,21.0491,105.8831,54.3783875,NVC,439.7563782,101381.5156,74.7179184,19.50923538,4.021984577,14.42309375,0.225761119,0.000115414,27.72258759,1828.877441
20190203,21.0491,105.8831,43.2923125,NVC,332.8272705,101400.1719,84.43359375,21.10296822,3.872507095,17.93775,0.225761119,,27.72258759,1828.877441
20190204,21.0491,105.8831,23.4062,NVC,245.6401062,101638.6719,86.1353302,20.16399956,3.148388863,17.59998438,0.225761119,,27.72258759,1828.877441
20190205,21.0491,105.8831,21.15215833,NVC,330.0770569,101444.0313,87.5480957,19.51795387,2.25560236,17.24704688,0.225761119,,27.72258759,1828.877441
