time,lat,lon,NO2,name,hpbl,press,rh,tmp,wspd,dpt,ndvi,omi_no2,pd,rd
2019-01-01,21.0491,105.8831,,NVC,,,,,,,,,,
2019-01-02,21.0491,105.8831,,NVC,,,,,,,,,,
2019-01-03,21.0491,105.8831,41.3104,NVC,,,,,,,,,,
2019-01-04,21.0491,105.8831,39.37920417,NVC,,,,,,,,,,
2019-01-05,21.0491,105.8831,39.90187917,NVC,,,,,,,,,,
2019-01-06,21.0491,105.8831,30.00824583,NVC,,,,,,,,,,
2019-01-07,21.0491,105.8831,38.8811625,NVC,,,,,,,,,,
2019-01-08,21.0491,105.8831,23.5602625,NVC,,,,,,,,,,
2019-01-09,21.0491,105.8831,17.66202917,NVC,,,,,,,,,,
2019-01-10,21.0491,105.8831,22.33865417,NVC,,,,,,,,,,
2019-01-11,21.0491,105.8831,38.9171875,NVC,,,,,,,,,,
2019-01-12,21.0491,105.8831,42.94177917,NVC,,,,,,,,,,
2019-01-13,21.0491,105.8831,40.98890833,NVC,,,,,,,,,,
2019-01-14,21.0491,105.8831,48.20266667,NVC,,,,,,,,,,
2019-01-15,21.0491,105.8831,47.01025417,NVC,,,,,,,,,,
2019-01-16,21.0491,105.8831,21.04400417,NVC,,,,,,,,,,
2019-01-17,21.0491,105.8831,32.21331667,NVC,,,,,,,,,,
2019-01-18,21.0491,105.8831,56.01904167,NVC,,,,,,,,,,
2019-01-19,21.0491,105.8831,70.90895,NVC,,,,,,,,,,
2019-01-20,21.0491,105.8831,61.71862917,NVC,,,,,,,,,,
2019-01-21,21.0491,105.8831,30.25038333,NVC,,,,,,,,,,
2019-01-22,21.0491,105.8831,57.45888261,NVC,,,,,,,,,,
2019-01-23,21.0491,105.8831,95.19209524,NVC,,,,,,,,,,
2019-01-24,21.0491,105.8831,46.04705882,NVC,,,,,,,,,,
2019-01-25,21.0491,105.8831,28.09166667,NVC,,,,,,,,,,
2019-01-26,21.0491,105.8831,27.77083333,NVC,,,,,,,,,,
2019-01-27,21.0491,105.8831,37.225,NVC,,,,,,,,,,
2019-01-28,21.0491,105.8831,35.95833333,NVC,,,,,,,,,,
2019-01-29,21.0491,105.8831,31.72796667,NVC,,,,,,,,,,
2019-01-30,21.0491,105.8831,40.85408947,NVC,,,,,,,,,,
2019-01-31,21.0491,105.8831,42.69805882,NVC,,,,,,,,,,
2019-02-01,21.0491,105.8831,59.91645,NVC,,,,,,,,,,
2019-02-02,21.0491,105.8831,54.3783875,NVC,,,,,,,,,,
2019-02-03,21.0491,105.8831,43.2923125,NVC,,,,,,,,,,
2019-02-04,21.0491,105.8831,23.4062,NVC,,,,,,,,,,
2019-02-05,21.0491,105.8831,21.15215833,NVC,,,,,,,,,,
2019-02-06,21.0491,105.8831,14.1924875,NVC,,,,,,,,,,
2019-02-07,21.0491,105.8831,25.52897083,NVC,,,,,,,,,,
2019-02-08,21.0491,105.8831,33.07019167,NVC,,,,,,,,,,
2019-02-09,21.0491,105.8831,30.98872917,NVC,,,,,,,,,,
2019-02-10,21.0491,105.8831,22.64964583,NVC,,,,,,,,,,
2019-02-11,21.0491,105.8831,25.22201667,NVC,,,,,,,,,,
2019-02-12,21.0491,105.8831,27.4532125,NVC,,,,,,,,,,
2019-02-13,21.0491,105.8831,28.62477917,NVC,,,,,,,,,,
2019-02-14,21.0491,105.8831,31.817375,NVC,,,,,,,,,,
2019-02-15,21.0491,105.8831,27.85900833,NVC,,,,,,,,,,
2019-02-16,21.0491,105.8831,24.76249167,NVC,,,,,,,,,,
2019-02-17,21.0491,105.8831,20.91912083,NVC,,,,,,,,,,
2019-02-18,21.0491,105.8831,44.49105833,NVC,,,,,,,,,,
2019-02-19,21.0491,105.8831,37.250525,NVC,,,,,,,,,,
2019-02-20,21.0491,105.8831,24.7162625,NVC,,,,,,,,,,
2019-02-21,21.0491,105.8831,29.8196125,NVC,,,,,,,,,,
2019-02-22,21.0491,105.8831,29.31253333,NVC,,,,,,,,,,
2019-02-23,21.0491,105.8831,20.543125,NVC,,,,,,,,,,
2019-02-24,21.0491,105.8831,28.28814583,NVC,,,,,,,,,,
2019-02-25,21.0491,105.8831,30.46708333,NVC,,,,,,,,,,
2019-02-26,21.0491,105.8831,33.71902917,NVC,,,,,,,,,,
2019-02-27,21.0491,105.8831,52.12087083,NVC,,,,,,,,,,
2019-02-28,21.0491,105.8831,43.51987083,NVC,,,,,,,,,,
2019-03-01,21.0491,105.8831,28.05015,NVC,,,,,,,,,,
2019-03-02,21.0491,105.8831,30.48475417,NVC,,,,,,,,,,
2019-03-03,21.0491,105.8831,36.64037083,NVC,,,,,,,,,,
2019-03-04,21.0491,105.8831,38.8140125,NVC,,,,,,,,,,
2019-03-05,21.0491,105.8831,16.72304,NVC,,,,,,,,,,
2019-03-07,21.0491,105.8831,29.26011111,NVC,,,,,,,,,,
2019-03-08,21.0491,105.8831,20.61080909,NVC,,,,,,,,,,
2019-03-12,21.0491,105.8831,73.4878,NVC,,,,,,,,,,
2019-03-13,21.0491,105.8831,74.358225,NVC,,,,,,,,,,
2019-03-14,21.0491,105.8831,52.01100833,NVC,,,,,,,,,,
2019-03-15,21.0491,105.8831,34.54174583,NVC,,,,,,,,,,
2019-03-16,21.0491,105.8831,33.61659167,NVC,,,,,,,,,,
2019-03-17,21.0491,105.8831,22.15833333,NVC,,,,,,,,,,
2019-03-18,21.0491,105.8831,21.34362917,NVC,,,,,,,,,,
2019-03-19,21.0491,105.8831,29.7991125,NVC,,,,,,,,,,
2019-03-20,21.0491,105.8831,37.39204167,NVC,,,,,,,,,,
2019-03-21,21.0491,105.8831,33.56024583,NVC,,,,,,,,,,
2019-03-22,21.0491,105.8831,38.23035833,NVC,,,,,,,,,,
2019-03-23,21.0491,105.8831,31.56653333,NVC,,,,,,,,,,
2019-03-24,21.0491,105.8831,33.69110417,NVC,,,,,,,,,,
2019-03-25,21.0491,105.8831,30.86077083,NVC,,,,,,,,,,
2019-03-26,21.0491,105.8831,35.79940455,NVC,,,,,,,,,,
2019-03-27,21.0491,105.8831,39.46639167,NVC,,,,,,,,,,
2019-03-28,21.0491,105.8831,40.345275,NVC,,,,,,,,,,
2019-04-08,21.0491,105.8831,26.33777273,NVC,,,,,,,,,,
2019-04-09,21.0491,105.8831,26.52127917,NVC,,,,,,,,,,
2019-04-10,21.0491,105.8831,21.80296667,NVC,,,,,,,,,,
2019-04-11,21.0491,105.8831,20.73549167,NVC,,,,,,,,,,
2019-04-12,21.0491,105.8831,17.427125,NVC,,,,,,,,,,
2019-04-13,21.0491,105.8831,12.825175,NVC,,,,,,,,,,
2019-04-14,21.0491,105.8831,12.76784167,NVC,,,,,,,,,,
2019-04-15,21.0491,105.8831,23.4699125,NVC,,,,,,,,,,
2019-04-16,21.0491,105.8831,22.48265417,NVC,,,,,,,,,,
2019-04-17,21.0491,105.8831,37.92055,NVC,,,,,,,,,,
2019-04-18,21.0491,105.8831,28.07879167,NVC,,,,,,,,,,
2019-04-19,21.0491,105.8831,45.04529167,NVC,,,,,,,,,,
2019-04-20,21.0491,105.8831,45.51422917,NVC,,,,,,,,,,
2019-04-21,21.0491,105.8831,29.38429583,NVC,,,,,,,,,,
2019-04-22,21.0491,105.8831,53.09782083,NVC,,,,,,,,,,
2019-04-23,21.0491,105.8831,36.5476125,NVC,,,,,,,,,,
2019-04-24,21.0491,105.8831,49.24319167,NVC,,,,,,,,,,
2019-04-25,21.0491,105.8831,37.1110625,NVC,,,,,,,,,,
2019-04-26,21.0491,105.8831,32.654275,NVC,,,,,,,,,,
2019-04-27,21.0491,105.8831,34.01464583,NVC,,,,,,,,,,
2019-04-28,21.0491,105.8831,32.48454583,NVC,,,,,,,,,,
2019-04-29,21.0491,105.8831,37.11625833,NVC,,,,,,,,,,
2019-04-30,21.0491,105.8831,46.05566667,NVC,,,,,,,,,,
2019-05-01,21.0491,105.8831,38.04143333,NVC,,,,,,,,,,
2019-05-02,21.0491,105.8831,52.07172917,NVC,,,,,,,,,,
2019-05-03,21.0491,105.8831,50.0964625,NVC,,,,,,,,,,
2019-05-04,21.0491,105.8831,31.66984583,NVC,,,,,,,,,,
2019-05-05,21.0491,105.8831,38.7666875,NVC,,,,,,,,,,
2019-05-06,21.0491,105.8831,47.733475,NVC,,,,,,,,,,
2019-05-07,21.0491,105.8831,44.43179167,NVC,,,,,,,,,,
2019-05-08,21.0491,105.8831,29.7026875,NVC,,,,,,,,,,
2019-05-09,21.0491,105.8831,30.1919875,NVC,,,,,,,,,,
2019-05-10,21.0491,105.8831,33.85790833,NVC,,,,,,,,,,
2019-05-11,21.0491,105.8831,43.8922,NVC,,,,,,,,,,
2019-05-12,21.0491,105.8831,37.54025833,NVC,,,,,,,,,,
2019-05-13,21.0491,105.8831,33.909175,NVC,,,,,,,,,,
2019-05-14,21.0491,105.8831,35.302275,NVC,,,,,,,,,,
2019-05-15,21.0491,105.8831,41.98785417,NVC,,,,,,,,,,
2019-05-16,21.0491,105.8831,47.575875,NVC,,,,,,,,,,
2019-05-17,21.0491,105.8831,49.42495417,NVC,,,,,,,,,,
2019-05-18,21.0491,105.8831,52.82729583,NVC,,,,,,,,,,
2019-05-19,21.0491,105.8831,54.2443375,NVC,,,,,,,,,,
2019-05-20,21.0491,105.8831,40.26678333,NVC,,,,,,,,,,
2019-05-21,21.0491,105.8831,39.38538333,NVC,,,,,,,,,,
2019-05-22,21.0491,105.8831,27.6927,NVC,,,,,,,,,,
2019-05-23,21.0491,105.8831,,NVC,,,,,,,,,,
2019-05-24,21.0491,105.8831,,NVC,,,,,,,,,,
2019-05-25,21.0491,105.8831,,NVC,,,,,,,,,,
2019-05-26,21.0491,105.8831,,NVC,,,,,,,,,,
2019-05-27,21.0491,105.8831,,NVC,,,,,,,,,,
2019-05-28,21.0491,105.8831,,NVC,,,,,,,,,,
2019-05-29,21.0491,105.8831,6.7964,NVC,,,,,,,,,,
2019-05-30,21.0491,105.8831,,NVC,,,,,,,,,,
2019-05-31,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-01,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-02,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-03,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-04,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-05,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-06,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-07,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-08,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-09,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-10,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-11,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-12,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-13,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-14,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-15,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-16,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-17,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-18,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-19,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-20,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-21,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-22,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-23,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-24,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-25,21.0491,105.8831,,NVC,,,,,,,,,,
2019-06-26,21.0491,105.8831,57.09371538,NVC,,,,,,,,,,
2019-06-27,21.0491,105.8831,59.4659375,NVC,,,,,,,,,,
2019-06-28,21.0491,105.8831,55.6719,NVC,,,,,,,,,,
2019-06-29,21.0491,105.8831,56.55985417,NVC,,,,,,,,,,
2019-06-30,21.0491,105.8831,35.9919375,NVC,,,,,,,,,,
2019-07-01,21.0491,105.8831,42.6984375,NVC,,,,,,,,,,
2019-07-02,21.0491,105.8831,37.57690833,NVC,,,,,,,,,,
2019-07-03,21.0491,105.8831,29.32372083,NVC,,,,,,,,,,
2019-07-04,21.0491,105.8831,31.19384167,NVC,,,,,,,,,,
2019-07-05,21.0491,105.8831,46.82129583,NVC,,,,,,,,,,
2019-07-06,21.0491,105.8831,42.77924167,NVC,,,,,,,,,,
2019-07-07,21.0491,105.8831,47.00605833,NVC,,,,,,,,,,
2019-07-08,21.0491,105.8831,51.05620833,NVC,,,,,,,,,,
